127.0.0.1 - - [28/Mar/2017:00:07:42 +0800] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:08:57 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:08:57 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:08:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:10 +0800] "GET /OnlineChatting/error.jsp HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:13 +0800] "GET /OnlineChatting/register.jsp HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:21 +0800] "POST /OnlineChatting/registerProcess HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:22 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:27 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:27 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:37 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:09:37 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:09 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:09 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:09 +0800] "GET /OnlineChatting/js/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:15 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 5735
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:15 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:16 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:20 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:10:20 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
